Calibration values (ps) from cell 0 to 1024 :

00088.137	00088.341	00088.545	00088.749	00088.953	00089.157	00089.362	00089.566	cell = 440 to 447
00089.771	00089.976	00090.180	00090.385	00090.590	00090.795	00091.000	00091.205	cell = 448 to 455
00091.409	00091.614	00091.819	00092.024	00092.229	00092.434	00092.640	00092.845	cell = 456 to 463
00093.051	00093.256	00093.461	00093.667	00093.872	00094.077	00094.283	00094.488	cell = 464 to 471
00094.694	00094.899	00095.104	00095.310	00095.515	00095.720	00095.926	00096.132	cell = 472 to 479
00096.337	00096.543	00096.749	00096.955	00097.161	00097.367	00097.573	00097.779	cell = 480 to 487
00097.985	00098.191	00098.397	00098.602	00098.808	00099.013	00099.218	00099.423	cell = 488 to 495
00099.628	00099.833	00100.038	00100.243	00100.446	00100.650	00100.854	00101.057	cell = 496 to 503
00101.259	00101.462	00101.664	00101.867	00102.070	00102.272	00102.475	00102.677	cell = 504 to 511
00102.879	00103.082	00103.284	00103.487	00103.689	00103.892	00104.094	00104.297	cell = 512 to 519
00104.499	00104.702	00104.905	00105.108	00105.310	00105.513	00105.716	00105.918	cell = 520 to 527
00106.121	00106.324	00106.527	00106.730	00106.933	00107.137	00107.340	00107.543	cell = 528 to 535
00107.746	00107.949	00108.153	00108.356	00108.559	00108.762	00108.966	00109.169	cell = 536 to 543
00109.372	00109.575	00109.778	00109.981	00110.184	00110.386	00110.589	00110.792	cell = 544 to 551
00110.995	00111.198	00111.402	00111.605	00111.808	00112.011	00112.214	00112.417	cell = 552 to 559
00112.620	00112.823	00113.026	00113.229	00113.432	00113.635	00113.838	00114.041	cell = 560 to 567
00114.244	00114.446	00114.649	00114.852	00115.055	00115.258	00115.461	00115.664	cell = 568 to 575
00115.867	00116.069	00116.272	00116.475	00116.678	00116.880	00117.083	00117.286	cell = 576 to 583
00117.489	00117.692	00117.896	00118.099	00118.302	00118.506	00118.709	00118.913	cell = 584 to 591
00119.117	00119.321	00119.524	00119.728	00119.931	00120.134	00120.337	00120.541	cell = 592 to 599
00120.745	00120.948	00121.153	00121.357	00121.561	00121.765	00121.969	00122.173	cell = 600 to 607
00122.377	00122.581	00122.785	00122.989	00123.192	00123.396	00123.600	00123.803	cell = 608 to 615
00124.007	00124.211	00124.415	00124.618	00124.822	00125.026	00125.229	00125.433	cell = 616 to 623
00125.636	00125.840	00126.043	00126.246	00126.449	00126.652	00126.855	00127.058	cell = 624 to 631
00127.261	00127.463	00127.666	00127.869	00128.072	00128.275	00128.478	00128.681	cell = 632 to 639
00128.884	00129.087	00129.290	00129.493	00129.696	00129.899	00130.102	00130.305	cell = 640 to 647
00130.509	00130.712	00130.915	00131.117	00131.320	00131.523	00131.725	00131.928	cell = 648 to 655
00132.131	00132.333	00132.536	00132.739	00132.941	00133.144	00133.346	00133.549	cell = 656 to 663
00133.751	00133.954	00134.157	00134.360	00134.562	00134.765	00134.967	00135.170	cell = 664 to 671
00135.372	00135.574	00135.777	00135.979	00136.181	00136.383	00136.584	00136.786	cell = 672 to 679
00136.987	00137.188	00137.390	00137.591	00137.792	00137.993	00138.193	00138.394	cell = 680 to 687
00138.594	00138.795	00138.995	00139.195	00139.396	00139.596	00139.797	00139.998	cell = 688 to 695
00140.198	00140.399	00140.600	00140.800	00141.001	00141.201	00141.401	00141.602	cell = 696 to 703
00141.802	00142.003	00142.203	00142.403	00142.603	00142.803	00143.003	00143.203	cell = 704 to 711
00143.403	00143.603	00143.803	00144.003	00144.202	00144.402	00144.601	00144.801	cell = 712 to 719
00145.001	00145.201	00145.400	00145.600	00145.800	00146.000	00146.200	00146.400	cell = 720 to 727
00146.600	00146.800	00147.000	00147.200	00147.400	00147.600	00147.800	00148.000	cell = 728 to 735
00148.200	00148.400	00148.599	00148.799	00148.998	00149.198	00149.397	00149.596	cell = 736 to 743
00149.796	00149.995	00150.194	00150.393	00150.592	00150.791	00150.990	00151.190	cell = 744 to 751
00151.389	00151.589	00151.788	00151.987	00152.185	00152.384	00152.583	00152.782	cell = 752 to 759
00152.980	00153.179	00153.378	00153.576	00153.775	00153.974	00154.172	00154.370	cell = 760 to 767
00154.569	00154.767	00154.966	00155.164	00155.362	00155.560	00155.759	00155.957	cell = 768 to 775
00156.156	00156.355	00156.553	00156.752	00156.951	00157.150	00157.349	00157.547	cell = 776 to 783
00157.746	00157.945	00158.143	00158.342	00158.541	00158.739	00158.937	00159.135	cell = 784 to 791
00159.334	00159.532	00159.729	00159.927	00160.125	00160.323	00160.521	00160.719	cell = 792 to 799
00160.917	00161.115	00161.313	00161.511	00161.709	00161.907	00162.105	00162.303	cell = 800 to 807
00162.502	00162.700	00162.898	00163.096	00163.294	00163.493	00163.691	00163.890	cell = 808 to 815
00164.088	00164.287	00164.486	00164.684	00164.882	00165.081	00165.279	00165.477	cell = 816 to 823
00165.675	00165.873	00166.071	00166.269	00166.467	00166.665	00166.862	00167.060	cell = 824 to 831
00167.258	00167.456	00167.654	00167.852	00168.050	00168.248	00168.446	00168.644	cell = 832 to 839
00168.842	00169.039	00169.237	00169.435	00169.633	00169.831	00170.029	00170.227	cell = 840 to 847
00170.424	00170.622	00170.819	00171.016	00171.214	00171.411	00171.608	00171.805	cell = 848 to 855
00172.003	00172.200	00172.397	00172.594	00172.792	00172.989	00173.186	00173.383	cell = 856 to 863
00173.580	00173.777	00173.974	00174.171	00174.367	00174.564	00174.761	00174.958	cell = 864 to 871
00175.154	00175.351	00175.548	00175.744	00175.940	00176.136	00176.332	00176.528	cell = 872 to 879
00176.724	00176.920	00177.115	00177.311	00177.507	00177.702	00177.898	00178.093	cell = 880 to 887
00178.289	00178.485	00178.680	00178.876	00179.072	00179.267	00179.463	00179.658	cell = 888 to 895
00179.854	00180.049	00180.244	00180.440	00180.635	00180.831	00181.026	00181.222	cell = 896 to 903
00181.418	00181.613	00181.809	00182.005	00182.202	00182.398	00182.594	00182.791	cell = 904 to 911
00182.987	00183.184	00183.380	00183.576	00183.772	00183.969	00184.165	00184.361	cell = 912 to 919
